latitude, longitude, timestamp
39.5365599, -122.3379166, 2022-05-13T19:37:06.307228Z
39.5365599, -122.3379165, 2022-05-13T19:37:06.362784Z
39.5365599, -122.3379165, 2022-05-13T19:37:06.418340Z
39.5365599, -122.3379165, 2022-05-13T19:37:06.473896Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.529452Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.630000Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.685556Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.741112Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.796668Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.852224Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.907780Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.963336Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.018892Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.074448Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.130004Z
39.5365598, -122.3379166, 2022-05-13T19:37:07.185560Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.241116Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.296672Z
39.5365599, -122.3379167, 2022-05-13T19:37:07.352228Z
39.5365598, -122.3379166, 2022-05-13T19:37:07.407784Z
39.5365599, -122.3379166, 2022-05-13T19:37:07.463340Z
39.5365598, -122.3379166, 2022-05-13T19:37:07.518896Z
39.5365598, -122.3379166, 2022-05-13T19:37:07.574452Z
39.5365597, -122.3379165, 2022-05-13T19:37:07.620000Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.675556Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.731112Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.786668Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.842224Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.897780Z
39.5365598, -122.3379165, 2022-05-13T19:37:07.953336Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.008892Z
39.5365597, -122.3379165, 2022-05-13T19:37:08.064448Z
39.5365597, -122.3379166, 2022-05-13T19:37:08.120004Z
39.5365597, -122.3379165, 2022-05-13T19:37:08.175560Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.231116Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.286672Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.342228Z
39.5365598, -122.3379164, 2022-05-13T19:37:08.397784Z
39.5365598, -122.3379164, 2022-05-13T19:37:08.453340Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.508896Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.564452Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.555000Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.610556Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.666112Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.721668Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.777224Z
39.5365598, -122.3379164, 2022-05-13T19:37:08.832780Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.888336Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.943892Z
39.5365598, -122.3379165, 2022-05-13T19:37:08.999448Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.055004Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.110560Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.166116Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.221672Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.277228Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.332784Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.388340Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.443896Z
39.5365598, -122.3379165, 2022-05-13T19:37:09.499452Z
39.5365599, -122.3379165, 2022-05-13T19:37:09.555008Z
39.5365599, -122.3379165, 2022-05-13T19:37:09.600000Z
39.5365599, -122.3379165, 2022-05-13T19:37:09.655556Z
39.5365599, -122.3379165, 2022-05-13T19:37:09.711112Z
